City,Lat,Lngs,Temp,Humidity,Cloudiness,Wind Speed
castro,-24.79,-50.01,63.37,96,100,8.21
bluff,-46.6,168.33,55.99,68,99,5.99
busselton,-33.65,115.33,67.35,43,0,13
hermanus,-34.42,19.23,61,85,100,14.03
los llanos de aridane,28.66,-17.92,64.4,63,40,5.82
tulum,20.22,-87.47,73.2,85,0,4.61
lagoa,39.05,-27.98,54.97,67,23,24.34
hilo,19.73,-155.09,72.07,65,40,10.29
kruisfontein,-34,24.73,64,77,86,3
buchanan,5.88,-10.05,77.41,86,80,3.87
ribeira grande,38.52,-28.7,56.12,65,47,21.03
sorland,67.67,12.69,44.49,73,91,17.07
norman wells,65.28,-126.83,-11.2,83,75,4.7
bredasdorp,-34.53,20.04,62.01,85,100,10.51
yellowknife,62.46,-114.35,-5.46,83,40,9.17
mataura,-46.19,168.86,55.99,68,99,5.99
new norfolk,-42.78,147.06,71.01,32,69,3
kapaa,22.08,-159.32,78.8,65,20,19.46
hays,30.05,-98.03,56.97,81,93,4
saskylakh,71.92,114.08,7.83,93,60,10.76
nsanje,-16.92,35.26,77.79,82,89,5.32
jalu,29.03,21.55,52.7,80,0,4.36
stromness,58.97,-3.3,42.8,81,100,13.87
lincoln,40.8,-96.67,35.65,64,1,8.57
longyearbyen,78.22,15.64,30.2,80,90,39.15
severo-kurilsk,50.68,156.12,28.69,91,83,15.68
ponta do sol,32.67,-17.1,56.25,72,20,9.17
hithadhoo,-0.6,73.08,81.59,72,19,7.61
cayenne,4.93,-52.33,75.2,100,20,7.47
gat,31.61,34.76,52.75,93,20,2.24
avarua,-21.21,-159.78,78.8,78,44,17.22
pedernales,18.04,-71.74,75.87,60,1,5.21
storforshei,66.4,14.52,37.99,92,100,4.79
morgan city,29.7,-91.21,65.8,100,90,9.17
tuktoyaktuk,69.45,-133.04,3.2,84,90,3.36
atuona,-9.8,-139.03,78.78,72,54,21.3
cape town,-33.93,18.42,62.51,72,20,21.92
alofi,-19.06,-169.92,84.2,83,75,10.29
albany,42.6,-73.97,44.19,78,89,1.99
geraldton,-28.77,114.6,73.4,38,0,19.46
ushuaia,-54.8,-68.3,33.62,91,35,6.38
butaritari,3.07,172.79,82.47,77,48,14.29
sur,22.57,59.53,73.81,62,83,7.2
vostok,46.49,135.88,8.94,92,99,5.48
dakar,14.69,-17.44,77,57,0,18.34
vallenar,-28.57,-70.76,57.78,78,0,1.57
narsaq,60.92,-46.05,30.2,54,100,19.46
sakakah,29.97,40.21,57.63,53,58,11.21
hobart,-42.88,147.33,71.83,32,0,6.93
saint-ambroise,48.55,-71.33,33.15,100,98,2.24
tautira,-17.73,-149.15,86,70,75,9.17
olive branch,34.96,-89.83,51.64,93,90,6.93
rikitea,-23.12,-134.97,75.99,77,70,15.61
nikolskoye,59.7,30.79,34.84,80,90,11.18
carnarvon,-24.87,113.63,77,44,0,24.16
novorzhev,57.03,29.33,35.89,95,100,6.73
koszalin,54.19,16.17,39.99,72,92,9.91
cherskiy,68.75,161.3,2.32,90,21,5.84
puerto ayora,-0.74,-90.35,71.01,90,77,7
upata,8.01,-62.4,71.13,96,100,2.08
maxixe,-23.86,35.35,77,83,75,8.05
port-gentil,-0.72,8.78,78.98,84,100,10.78
mahebourg,-20.41,57.7,73.4,83,75,8.05
dukat,62.55,155.55,-8.32,90,100,5.84
coquimbo,-29.95,-71.34,55.4,93,0,2.24
jamestown,42.1,-79.24,40.77,86,90,4.7
onega,63.91,38.14,19.45,96,95,7
inta,66.03,60.17,7.84,94,0,6.02
bethel,41.37,-73.41,45.84,76,90,4.7
kamenka,51.32,42.77,35.01,93,100,11.01
port alfred,-33.59,26.89,65.43,77,58,23.44
lebu,-37.62,-73.65,52.12,90,100,3.74
namatanai,-3.67,152.43,80.58,82,100,5.79
haapiti,-17.57,-149.87,86,70,75,9.17
krasnyy yar,46.53,48.35,30.09,86,75,11.18
dehloran,32.69,47.27,60.58,81,100,7
talnakh,69.49,88.4,10.4,85,100,22.37
codrington,-38.27,141.97,66.16,66,100,13.94
souillac,-20.52,57.52,73.4,83,75,8.05
makat,47.65,53.35,27.28,97,72,9.01
saint-philippe,-21.36,55.77,73.26,57,0,10.29
jardim,-21.48,-56.14,76.82,60,66,0.56
acapulco,16.86,-99.89,82.4,78,20,4.7
fort-shevchenko,44.51,50.26,37.27,80,5,17.98
luderitz,-26.65,15.16,59,87,0,6.93
biak,-0.91,122.88,81.14,78,100,1.68
qaanaaq,77.48,-69.36,-2.51,82,100,6.24
tasiilaq,65.61,-37.64,15.8,47,24,26.4
urumqi,43.8,87.6,21.2,79,20,2.24
dikson,73.51,80.55,28.99,98,100,16.98
hovd,48.01,91.64,17.42,88,0,1.32
tiksi,71.69,128.87,-0.35,91,93,7.07
pangnirtung,66.15,-65.71,13.93,88,100,7.14
mitsamiouli,-11.38,43.28,81.91,74,1,10.09
satipo,-11.25,-74.64,70.84,77,98,3.2
foam lake,51.65,-103.53,26.6,73,98,9.17
sitka,57.05,-135.33,37.4,74,90,5.82
ostrovnoy,68.05,39.51,27.21,96,87,20.04
yar-sale,66.83,70.83,2.37,93,2,8.63
punta arenas,-53.15,-70.92,39.2,80,75,25.28
nhulunbuy,-12.23,136.77,91.4,49,70,11.41
sao jose da coroa grande,-8.9,-35.15,76.98,74,83,10.45
vagur,61.47,-6.81,45.05,64,74,9.33
otjimbingwe,-22.35,16.13,71.28,33,78,0.96
plymouth,41.83,-70.83,48.74,87,90,4.7
lavrentiya,65.58,-171,24.6,93,84,9.95
gunjur,13.2,-16.73,66.2,72,0,4.7
kibala,9.11,18.35,66.2,63,0,4.65
aguimes,27.91,-15.45,64.22,72,75,5.82
gao,16.64,1.64,70.86,20,0,8.32
alghero,40.56,8.32,55.13,72,0,9.17
mehamn,71.04,27.85,38.86,75,45,19.44
haines junction,60.75,-137.51,6.8,84,88,1.12
le port,-20.94,55.29,73.44,83,75,11.41
east london,-33.02,27.91,62.6,82,0,12.75
saint george,37.1,-113.58,38.61,34,1,5.82
dicabisagan,17.08,122.42,78.64,84,100,13.58
burnie,-41.07,145.92,61,66,100,5.99
port blair,11.67,92.75,82.45,77,96,19.93
mayakonda,14.28,76.08,68.05,84,100,7.94
harper,4.38,-7.72,76.23,86,9,1.45
takahagi,36.72,140.72,50.85,49,0,7
kavieng,-2.57,150.8,81.68,82,99,15.43
ordynskoye,54.37,81.9,11.7,93,0,5.1
aswan,24.09,32.91,54.01,62,0,6.71
pevek,69.7,170.31,10.49,92,64,1.7
ust-ishim,57.69,71.17,5.41,95,79,3.94
copiapo,-27.37,-70.33,57.2,82,0,3.36
arraial do cabo,-22.97,-42.03,74.39,87,5,19.84
ayr,55.46,-4.63,41.61,87,40,3.36
lompoc,34.64,-120.46,44.51,75,1,4.56
ailigandi,9.23,-78.02,79.3,82,100,2.17
boende,-0.22,20.87,70.43,97,100,1.12
jizan,17.33,42.67,78.8,83,40,8.05
thompson,55.74,-97.86,19.4,92,90,2.24
vaini,-21.2,-175.2,82.4,83,75,25.28
gombong,-7.61,109.51,78.01,62,57,5.68
preili,56.29,26.72,32.2,98,100,9.42
outjo,-20.12,16.15,69.8,40,67,2.24
kiama,-34.68,150.87,104,14,53,19.46
muhos,64.81,25.99,21.94,92,90,4.7
belmonte,-15.86,-38.88,77,65,90,6.93
bambous virieux,-20.34,57.76,75.52,83,75,8.05
campbell river,50.02,-125.24,41.4,93,75,4.7
treinta y tres,-33.23,-54.38,62.42,96,13,11.81
oranjemund,-28.55,16.43,58.41,92,5,4.79
barrow,71.29,-156.79,3.2,77,1,11.41
machakos,-1.52,37.27,62.6,100,90,11.41
zaraza,9.35,-65.32,73.09,97,92,3.51
komsomolskiy,40.43,71.72,41,65,100,34.45
honningsvag,70.98,25.97,42.08,70,31,25.3
leningradskiy,69.38,178.42,19.72,95,99,7.18
sola,-13.88,167.55,87.8,74,75,6.89
anshun,26.25,105.93,42.3,73,100,10.2
xiropotamos,41.2,24.1,48,44,0,4.07
kichera,55.94,110.1,13.77,90,84,0.58
kinablangan,7.69,126.55,83.57,73,94,7.4
chokurdakh,70.63,147.92,-10.3,92,97,4.68
tuni,17.35,82.55,74.41,67,88,9.91
upernavik,72.79,-56.15,1,78,0,8.5
bonthe,7.53,-12.51,77.54,84,0,3.33
san buenaventura,27.08,-101.53,72,71,82,1.01
imbituba,-28.24,-48.67,73.4,94,75,4.7
kodinsk,58.69,99.18,8.37,91,0,1.48
necochea,-38.55,-58.74,72,65,0,21.72
chuy,-33.7,-53.46,62.74,94,6,10.11
san policarpo,12.18,125.51,83.21,82,100,10.31
robertsport,6.75,-11.37,78.22,81,0,1.92
cidreira,-30.18,-50.21,71.29,92,93,17.81
surab,28.49,66.26,55.36,25,53,6.11
manokwari,-0.87,134.08,83.41,75,52,1.86
clyde river,70.47,-68.59,-5.8,76,90,16.11
teya,60.38,92.63,11.93,89,48,1.83
newport,51.59,-3,41.68,96,99,1.01
nuuk,64.18,-51.72,26.6,68,100,20.8
katangli,51.71,143.23,17.06,83,59,11.83
tessalit,20.2,1.01,60.13,32,0,5.03
coahuayana,18.73,-103.68,77.65,80,64,1.3
korla,41.76,86.15,34,89,98,4.97
alice springs,-23.7,133.88,105.8,9,0,13.87
pontal do parana,-25.65,-48.51,61.41,99,100,3.38
khatanga,71.97,102.5,14.79,96,100,17.27
hamilton,39.18,-84.53,44.58,70,1,6.13
dalby,-27.18,151.27,91.4,18,0,9.17
bonavista,48.65,-53.11,47.73,93,94,10.29
amapa,1,-52,71.73,97,100,2.06
